"","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number"
"580","24-Feb-16","Lead",37,"Copper",170,"WELCH BLVD   ","FLINT",48504,"FS0409","Lead","KITCHEN",1,"02-Mar-16","Lead",29,"Copper",150,"WELCH BLVD   ","FLINT",48504,"FS0409","Lead","KITCHEN",2,"16-Mar-16","Lead",12,"Copper",190,"WELCH BLVD   ","FLINT",48504,"FS0409","Lead","KITCHEN",3,"30-Mar-16","Lead",6,"Copper",0,"WELCH BLVD   ","FLINT",48504,"FS0409","Lead","KITCHEN",4
"497","25-Feb-16","Lead",3,"Copper",90,"MACKIN RD   ","FLINT",48504,"FS0410","Galvanized","KITCHEN",1,"03-Mar-16","Lead",2,"Copper",0,"MACKIN RD   ","FLINT",48504,"FS0410","Galvanized","KITCHEN",2,"20-Mar-16","Lead",3,"Copper",80,"MACKIN RD   ","FLINT",48504,"FS0410","Galvanized","KITCHEN",3,"31-Mar-16","Lead",5,"Copper",80,"MACKIN RD   ","FLINT",48504,"FS0410","Galvanized","KITCHEN",4
"47","24-Feb-16","Lead",0,"Copper",140,"BARTH ST   ","FLINT",48504,"FS0417","Copper","KITCHEN",1,"03-Mar-16","Lead",0,"Copper",130,"BARTH ST   ","FLINT",48504,"FS0417","Copper","KITCHEN",2,"18-Mar-16","Lead",0,"Copper",0,"BARTH ST   ","FLINT",48504,"FS0417","Copper","BATHROOM",3,"31-Mar-16","Lead",0,"Copper",100,"BARTH ST   ","FLINT",48504,"FS0417","Copper","BATHROOM",4
"316","24-Feb-16","Lead",4,"Copper",0,"COPEMAN BLVD   ","FLINT",48504,"FS0418","Copper","KITCHEN",1,"02-Mar-16","Lead",3,"Copper",0,"COPEMAN BLVD   ","FLINT",48504,"FS0418","Copper","KITCHEN",2,"18-Mar-16","Lead",4,"Copper",0,"COPEMAN BLVD   ","FLINT",48504,"FS0418","Copper","KITCHEN",3,"30-Mar-16","Lead",6,"Copper",0,"COPEMAN BLVD   ","FLINT",48504,"FS0418","Copper","KITCHEN",4
"49","24-Feb-16","Lead",0,"Copper",0,"WOLCOTT ST   ","FLINT",48504,"FS0518","Copper","KITCHEN",1,"03-Mar-16","Lead",0,"Copper",0,"WOLCOTT ST   ","FLINT",48504,"FS0518","Copper","KITCHEN",2,"18-Mar-16","Lead",0,"Copper",0,"WOLCOTT ST   ","FLINT",48504,"FS0518","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",0,"WOLCOTT ST   ","FLINT",48504,"FS0518","Copper","KITCHEN",4
"435","24-Feb-16","Lead",0,"Copper",70,"COPEMAN BLVD   ","FLINT",48504,"FS0532","Galvanized","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",90,"COPEMAN BLVD   ","FLINT",48504,"FS0532","Galvanized","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",0,"COPEMAN BLVD   ","FLINT",48504,"FS0532","Galvanized","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",90,"COPEMAN BLVD   ","FLINT",48504,"FS0532","Galvanized","KITCHEN",4
"52","24-Feb-16","Lead",0,"Copper",60,"WINONA ST   ","FLINT",48504,"FS0562","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",0,"WINONA ST   ","FLINT",48504,"FS0562","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",0,"WINONA ST   ","FLINT",48504,"FS0562","Copper","BATHROOM",3,"30-Mar-16","Lead",6,"Copper",90,"WINONA ST   ","FLINT",48504,"FS0562","Copper","BATHROOM",4
"54","24-Feb-16","Lead",0,"Copper",0,"SUNSET DR   ","FLINT",48503,"FS0576","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",70,"SUNSET DR   ","FLINT",48503,"FS0576","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",0,"SUNSET DR   ","FLINT",48503,"FS0576","Copper","KITCHEN",3,"05-Apr-16","Lead",0,"Copper",0,"SUNSET DR   ","FLINT",48503,"FS0576","Copper","KITCHEN",4
"57","24-Feb-16","Lead",0,"Copper",0,"ELDORADO DR   ","FLINT",48504,"FS0585","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",80,"ELDORADO DR   ","FLINT",48504,"FS0585","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",290,"ELDORADO DR   ","FLINT",48504,"FS0585","Copper","BATHROOM",3,"30-Mar-16","Lead",0,"Copper",260,"ELDORADO DR   ","FLINT",48504,"FS0585","Copper","KITCHEN",4
"594","24-Feb-16","Lead",1,"Copper",0,"WINONA ST   ","FLINT",48504,"FS0596","Unknown","KITCHEN",1,"02-Mar-16","Lead",1,"Copper",0,"WINONA ST   ","FLINT",48504,"FS0596","Unknown","KITCHEN",2,"16-Mar-16","Lead",3,"Copper",0,"WINONA ST   ","FLINT",48504,"FS0596","Unknown","BATHROOM",3,"30-Mar-16","Lead",4,"Copper",0,"WINONA ST   ","FLINT",48504,"FS0596","Unknown","BATHROOM",4
"318","24-Feb-16","Lead",4,"Copper",70,"WESTCOMBE AVE   ","FLINT",48503,"FS0608","Copper","KITCHEN",1,"02-Mar-16","Lead",4,"Copper",50,"WESTCOMBE AVE   ","FLINT",48503,"FS0608","Copper","KITCHEN",2,"16-Mar-16","Lead",4,"Copper",0,"WESTCOMBE AVE   ","FLINT",48503,"FS0608","Copper","KITCHEN",3,"30-Mar-16","Lead",3,"Copper",0,"WESTCOMBE AVE   ","FLINT",48503,"FS0608","Copper","KITCHEN",4
"251","24-Feb-16","Lead",2,"Copper",60,"WESTCOMBE AVE   ","FLINT",48503,"FS0620","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",50,"WESTCOMBE AVE   ","FLINT",48503,"FS0620","Copper","KITCHEN",2,"16-Mar-16","Lead",2,"Copper",60,"WESTCOMBE AVE   ","FLINT",48503,"FS0620","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",0,"WESTCOMBE AVE   ","FLINT",48503,"FS0620","Copper","KITCHEN",4
